,Latitude,Longitude,Magnitude,Depth(km),Region,Timestamp
0,27.92,65.75,3.9,20,"80 km West of Khuzdar, Balochistan.",2022-10-12 03:29:22
43,35.99,74.23,3.3,29,"11km Northwest of Gilgit, Pakistan.",2022-10-05 06:04:58
73,34.67,71.85,2.7,143,"9km NorthWest of Bat Khela, Pakistan",2022-10-01 03:31:59
78,35.34,72.72,2.4,30,"28km NorthEast of Madyan, Pakistan",2022-09-30 06:51:12
83,35.84,72.33,3.0,33,"45 Km East of Chitral, KPK",2022-09-29 10:02:32
90,36.22,72.93,4.0,40,"40km East of Mastuj (Northern Areas, Pakistan).",2022-09-28 05:41:16
98,33.12,73.66,3.8,8,"9km Southwest of Mirpur, Pakistan.",2022-09-27 01:05:03
99,30.97,74.34,3.4,33,India-Pakistan Border Region,2022-09-27 00:26:31
133,27.97,67.51,3.3,10,"Near Khuzdar(Balochistan), Pakistan.",2022-09-23 10:33:35
165,35.44,74.85,4.3,40,"75 Km Southeast of Gilgit, Pakistan",2022-09-19 04:10:29
200,34.62,73.48,2.9,30,"15 Km Northeast of Balakot, Pakistan",2022-09-15 06:30:29
328,28.61,65.26,3.2,15,"12 km Northwest of Kharan, Balochistan",2022-08-22 12:27:17
335,28.37,64.73,3.1,10,"70 km NorthEast of Kharan, Balochistan",2022-08-21 07:10:06
374,27.03,67.09,4.1,88,"60 km Northwest of Dadu, Sindh-Balochistan region",2022-08-14 09:53:21
416,33.29,71.05,3.5,20,"Near Karak, KPK",2022-08-06 15:02:35
456,25.12,63.54,5.0,30,"Off Coast of Pakistan (Near Pasni, Baluchistan)",2022-07-31 13:52:20
457,25.21,63.62,5.6,60,"Off Coast of Pakistan (Near Pasni, Baluchistan)",2022-07-31 13:42:21
504,30.82,66.74,4.1,11,"11km SouthEast of Chaman, Balochistan",2022-07-25 12:03:30
508,32.6,70.9,3.6,145,"Near Laki Marwat, KPK",2022-07-24 18:11:03
535,34.81,73.12,2.8,15,"15 Km Northeast of Thakot, KPK",2022-07-19 01:38:41
543,35.18,73.12,2.7,15,10 Km Northeast of Pattan KPK,2022-07-17 23:54:59
556,29.0,69.54,4.2,40,"33 Km Southeast of  Dera Bugti, Balochistan",2022-07-15 22:22:15
600,29.69,67.01,3.0,20,"18 Km Southeast of Mastung, Balochistan",2022-07-09 02:51:25
643,34.93,72.79,3.6,18,"Near Besham, KPK",2022-07-03 23:42:37
843,28.01,65.18,3.9,21,"65km South of Kharan, Balochistan",2022-05-24 04:16:01
867,26.53,67.51,3.9,15,"33 km Southwest of Dadu, Sindh",2022-05-21 05:08:23
876,27.65,65.16,3.5,30,"137km Southwest of Khuzdar, Balochistan",2022-05-18 13:59:28
877,27.38,65.16,4.0,30,"139 Km Southwest of Khuzdar, Balochistan",2022-05-18 10:21:20
941,29.69,64.84,3.5,30,Pakistan-Afghanistan Border Region,2022-05-05 22:18:57
978,29.1,65.41,3.7,20,"Near Kalat, Balochistan, Pakistan",2022-04-27 15:23:33
1169,28.71,65.18,3.6,40,"25 Km Northwest of Kharan, Balochistan",2022-03-25 11:26:02
1217,30.11,73.07,4.1,25,"Near Sahiwal, Punjab",2022-03-18 02:54:18
1276,33.19,72.58,3.4,25,"26 Km SE of Pendi Gheb, Punjab",2022-03-08 15:07:00
1631,24.7,62.43,5.0,25,Off Coast of Pakistan,2022-01-12 21:21:54
1715,27.32,70.06,4.3,80,India-Pakistan Border Region,2021-12-30 11:25:27
1745,29.34,70.04,3.7,20,"33 Km Nothwest of Rajanpur, Punjab",2021-12-27 12:08:54
