Station,Month,Floods,MeanTemp,VapourPressure(mb),PressureStationLevel,PressureSeaLevel,MaxTemp,MinTemp,PercipitationTotal,PercipitationDays,Observed_Normal
Drosh,Jan-21,,5.4,3.3,857,1530.9,11,0.5,7.8,3,observed
Drosh,Jan-21,,4.6,4.3,858.4,1535.3,9.2,0.1,48.6,6.1,normal
Peshawar,Jan-21,,11.9,7.5,978.6,1017.5,21.6,3,0,0,observed
Peshawar,Jan-21,,10.9,7.9,975.8,1018.3,18.5,4.1,30.8,4.4,normal
Parachinar,Jan-21,,3.8,4.5,829.7,1528.3,15.5,-5.1,0,0,observed
Parachinar,Jan-21,,4.2,4.1,828.3,1514.7,10.2,-3,47.6,2.9,normal
Rawalpindi,Jan-21,,11.3,8.3,957.9,1017.5,18.8,4.6,12.8,3,observed
Rawalpindi,Jan-21,,10,7.9,958.5,1018.2,17.6,3.1,59.2,6.2,normal
Sargodha,Jan-21,,11.8,10.4,991.8,1013.9,18.1,5.3,1.4,1,observed
Sargodha,Jan-21,,12.2,9.4,995.6,1017.4,19.9,4.3,16.8,4.1,normal
Jhelum,Jan-21,,12.3,11.3,988.1,1015.9,19.7,6.3,87.2,2,observed
Jhelum,Jan-21,,12,9.4,989.7,1017.6,19.3,5.5,37.4,5.7,normal
Sialkot,Jan-21,,11.4,11.1,986.1,1016.4,17.4,5.8,62.2,5,observed
Sialkot,Jan-21,,11.6,10.1,987.2,1017.5,18.2,5.1,41.8,5,normal
Zhob,Jan-21,,7.8,2.4,859.7,1498.9,16.5,-2.5,0,0,observed
Zhob,Jan-21,,6.4,4.7,860.1,1500.5,12.8,-1,20,1.7,normal
D.I.Khan,Jan-21,,12.2,8.9,995.5,1016.1,20.7,4.2,0,0,observed
D.I.Khan,Jan-21,,12.5,8.8,996.8,1017.3,20.1,4.4,11.4,3.5,normal
Lahore,Jan-21,,12.4,10.9,990.9,1016.4,17,6.6,60.4,2,observed
Lahore,Jan-21,,13.1,9.7,991.9,1017.4,19.6,6.7,22.9,4.8,normal
Quetta,Jan-21,,3.9,2.1,844.5,1536.1,12.7,-5.6,0,0,observed
Quetta,Jan-21,,4.3,5,842.8,1519,10.8,-2.7,64,5.9,normal
Multan,Jan-21,,12.5,9.8,1001.5,1015.9,19.6,5.4,0,0,observed
Multan,Jan-21,,13,9.3,1003.1,1018,20.9,5,8.2,2,normal
Barkhan,Jan-21,,11.8,2.7,891.3,1492.5,19.2,4.1,0,0,observed
Barkhan,Jan-21,,10.3,5.2,893.2,1508,16.2,4.1,13.9,1.3,normal
Nokkundi,Jan-21,,10.8,2.6,939.5,1018.6,19.4,0.4,0,0,observed
Nokkundi,Jan-21,,11.9,6.2,938.5,1017.8,18.8,3.9,8.4,0.6,normal
Dalbandin,Jan-21,,8.3,3.7,923.1,1521.1,18,-2.4,0,0,observed
Dalbandin,Jan-21,,10.2,6,921.6,1513.8,16.6,1.9,24.9,1,normal
Jacobabad,Jan-21,,14.3,9.2,1009.5,1016.2,21.4,5.9,0,0,observed
Jacobabad,Jan-21,,15.5,9.2,1010.8,1017.4,22.5,7.7,3.6,0.5,normal
Khanpur,Jan-21,,12.5,9.9,1005.1,1015.7,21.3,4.4,0,0,observed
Khanpur,Jan-21,,13.6,9.2,1006.5,1017.3,21.7,4.7,3.8,1.1,normal
Panjgur,Jan-21,,9.5,4.8,907.5,1517.9,17.1,0.5,0,0,observed
Panjgur,Jan-21,,11.2,3.8,906.9,1516.7,17.3,3.9,15.8,1.6,normal
Khuzdar,Jan-21,,12,4.4,879.5,1516.3,19.8,3.2,0,0,observed
Khuzdar,Jan-21,,10.8,2.8,877.9,1496.8,17.1,3.2,22.1,1.4,normal
Nawabshah,Jan-21,,14.7,9.2,1013,1016.5,24.4,5.4,0,0,observed
Nawabshah,Jan-21,,15.2,10.6,1013.8,1017.7,24.3,6.2,2.5,0.1,normal
Jiwani,Jan-21,,18.1,8.5,1010.2,1016.9,24.6,8.5,0,0,observed
